Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,367
design__inferred_latch__count,0
design__instance__count,83453
design__instance__area,918068
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.007781060878187418
power__switching__total,0.0028708914760500193
power__leakage__total,0.000003392913640709594
power__total,0.010655345395207405
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.9417697999122702
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.941089011134316
timing__hold__ws__corner:nom_tt_025C_3v30,-0.6789107246325966
timing__setup__ws__corner:nom_tt_025C_3v30,16.252081029851787
timing__hold__tns__corner:nom_tt_025C_3v30,-0.6789107246325966
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,-0.6789107246325966
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,1
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.932834
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,16.252081
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,458
design__max_fanout_violation__count__corner:max_ss_125C_3v00,0
design__max_cap_violation__count__corner:max_ss_125C_3v00,0
clock__skew__worst_hold__corner:max_ss_125C_3v00,-1.4530235204085087
clock__skew__worst_setup__corner:max_ss_125C_3v00,1.4522463642692918
timing__hold__ws__corner:max_ss_125C_3v00,-1.3820172064589669
timing__setup__ws__corner:max_ss_125C_3v00,-30.458900264110962
timing__hold__tns__corner:max_ss_125C_3v00,-1.3820172064589669
timing__setup__tns__corner:max_ss_125C_3v00,-2069.982487563559
timing__hold__wns__corner:max_ss_125C_3v00,-1.3820172064589669
timing__setup__wns__corner:max_ss_125C_3v00,-30.458900264110962
timing__hold_vio__count__corner:max_ss_125C_3v00,1
timing__hold_r2r__ws__corner:max_ss_125C_3v00,2.340985
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,174
timing__setup_r2r__ws__corner:max_ss_125C_3v00,-30.458900
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,174
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,0
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.7359599249444805
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.7353577399588929
timing__hold__ws__corner:min_ff_n40C_3v60,-0.4181599629363135
timing__setup__ws__corner:min_ff_n40C_3v60,35.48488892051791
timing__hold__tns__corner:min_ff_n40C_3v60,-0.4181599629363135
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,-0.4181599629363135
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,1
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.318386
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,35.484890
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count,458
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.7359599249444805
clock__skew__worst_setup,0.7353577399588929
timing__hold__ws,-1.3820172064589669
timing__setup__ws,-30.458900264110962
timing__hold__tns,-1.3820172064589669
timing__setup__tns,-2069.982487563559
timing__hold__wns,-1.3820172064589669
timing__setup__wns,-30.458900264110962
timing__hold_vio__count,3
timing__hold_r2r__ws,0.318386
timing__hold_r2r_vio__count,0
timing__setup_vio__count,174
timing__setup_r2r__ws,-30.458900
timing__setup_r2r_vio__count,174
design__die__bbox,0.0 0.0 1000.0 1000.0
design__core__bbox,20.16 23.52 980.0 980.0
design__io,6
design__die__area,1E+6
design__core__area,918068
design__instance__count__stdcell,49325
design__instance__area__stdcell,610432
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.66491
design__instance__utilization__stdcell,0.66491
design__rows,244
design__rows:GF018hv5v_mcu_sc7,244
design__sites,418216
design__sites:GF018hv5v_mcu_sc7,418216
design__instance__count__class:inverter,1203
design__instance__area__class:inverter,10659.9
design__instance__count__class:sequential_cell,1290
design__instance__area__class:sequential_cell,95991.7
design__instance__count__class:multi_input_combinational_cell,16691
design__instance__area__class:multi_input_combinational_cell,313501
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,1
flow__warnings__count:STA-0441,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,488
design__instance__area__class:endcap_cell,2142.52
design__instance__count__class:tap_cell,5908
design__instance__area__class:tap_cell,25938.5
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,4
design__io__hpwl,7888286
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1046.08
design__instance__displacement__mean,0.021
design__instance__displacement__max,11.76
route__wirelength__estimated,1.21618E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4749
design__instance__area__class:timing_repair_buffer,73675.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
design__instance__count__class:clock_buffer,181
design__instance__area__class:clock_buffer,5549.47
design__instance__count__class:clock_inverter,33
design__instance__area__class:clock_inverter,513.677
design__instance__count__setup_buffer,2
design__instance__count__hold_buffer,5
global_route__vias,202949
global_route__wirelength,1924952
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,18782
design__instance__area__class:antenna_cell,82460.5
antenna_diodes_count,0
flow__warnings__count:RSZ-0062,1
route__net,24054
route__net__special,2
route__drc_errors__iter:0,11456
route__wirelength__iter:0,1362931
route__drc_errors__iter:1,5058
route__wirelength__iter:1,1354175
route__drc_errors__iter:2,4816
route__wirelength__iter:2,1351580
route__drc_errors__iter:3,239
route__wirelength__iter:3,1347316
route__drc_errors__iter:4,91
route__wirelength__iter:4,1347323
route__drc_errors__iter:5,1
route__wirelength__iter:5,1347237
route__drc_errors__iter:6,1
route__wirelength__iter:6,1347245
route__drc_errors__iter:7,0
route__wirelength__iter:7,1347241
route__drc_errors,0
route__wirelength,1347241
route__vias,204686
