Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,367
design__inferred_latch__count,0
design__instance__count,82367
design__instance__area,918068
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,8
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.009226786904036999
power__switching__total,0.003385640913620591
power__leakage__total,0.000003406741825529025
power__total,0.01261583436280489
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.6499829747294359
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.9989602761080332
timing__hold__ws__corner:nom_tt_025C_3v30,0.6023142155513607
timing__setup__ws__corner:nom_tt_025C_3v30,12.487916831858605
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.602314
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,12.487917
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,1011
design__max_fanout_violation__count__corner:max_ss_125C_3v00,0
design__max_cap_violation__count__corner:max_ss_125C_3v00,0
clock__skew__worst_hold__corner:max_ss_125C_3v00,-1.288113208112755
clock__skew__worst_setup__corner:max_ss_125C_3v00,1.5759194395505196
timing__hold__ws__corner:max_ss_125C_3v00,1.054983241738081
timing__setup__ws__corner:max_ss_125C_3v00,-27.264410167911244
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,-2445.5167258989172
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,-27.264410167911244
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.336821
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,256
timing__setup_r2r__ws__corner:max_ss_125C_3v00,-27.264410
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,256
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,0
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.39027127079128593
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.7633152659333939
timing__hold__ws__corner:min_ff_n40C_3v60,0.29598935251680353
timing__setup__ws__corner:min_ff_n40C_3v60,28.871105434663985
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.295989
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,28.871105
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count,1011
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.39027127079128593
clock__skew__worst_setup,0.7633152659333939
timing__hold__ws,0.29598935251680353
timing__setup__ws,-27.264410167911244
timing__hold__tns,0.0
timing__setup__tns,-2445.5167258989172
timing__hold__wns,0
timing__setup__wns,-27.264410167911244
timing__hold_vio__count,0
timing__hold_r2r__ws,0.295989
timing__hold_r2r_vio__count,0
timing__setup_vio__count,256
timing__setup_r2r__ws,-27.264410
timing__setup_r2r_vio__count,256
design__die__bbox,0.0 0.0 1000.0 1000.0
design__core__bbox,20.16 23.52 980.0 980.0
design__io,6
design__die__area,1E+6
design__core__area,918068
design__instance__count__stdcell,50265
design__instance__area__stdcell,632139
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.688553
design__instance__utilization__stdcell,0.688553
design__rows,244
design__rows:GF018hv5v_mcu_sc7,244
design__sites,418216
design__sites:GF018hv5v_mcu_sc7,418216
design__instance__count__class:inverter,825
design__instance__area__class:inverter,7498.8
design__instance__count__class:sequential_cell,1290
design__instance__area__class:sequential_cell,96037.8
design__instance__count__class:multi_input_combinational_cell,16972
design__instance__area__class:multi_input_combinational_cell,331205
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,488
design__instance__area__class:endcap_cell,2142.52
design__instance__count__class:tap_cell,5908
design__instance__area__class:tap_cell,25938.5
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,4
design__io__hpwl,8277932
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,24610.3
design__instance__displacement__mean,0.4895
design__instance__displacement__max,29.68
route__wirelength__estimated,1.21698E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4332
design__instance__area__class:timing_repair_buffer,74386.5
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
design__instance__count__class:clock_buffer,167
design__instance__area__class:clock_buffer,5448.49
design__instance__count__class:clock_inverter,40
design__instance__area__class:clock_inverter,605.875
design__instance__count__setup_buffer,115
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,209404
global_route__wirelength,1961358
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,20243
design__instance__area__class:antenna_cell,88874.9
antenna_diodes_count,0
flow__warnings__count:EST-0026,1001
route__net,23541
route__net__special,2
route__drc_errors__iter:0,11686
route__wirelength__iter:0,1377512
route__drc_errors__iter:1,4819
route__wirelength__iter:1,1367427
route__drc_errors__iter:2,4816
route__wirelength__iter:2,1365502
route__drc_errors__iter:3,254
route__wirelength__iter:3,1361823
route__drc_errors__iter:4,6
route__wirelength__iter:4,1361542
route__drc_errors__iter:5,0
route__wirelength__iter:5,1361529
route__drc_errors,0
route__wirelength,1361529
route__vias,208925
route__vias__singlecut,208925
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1406.29
design__instance__count__class:fill_cell,32102
design__instance__area__class:fill_cell,285929
