Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,367
design__inferred_latch__count,0
design__instance__count,74865
design__instance__area,823516
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.004782205913215876
power__switching__total,0.001714976504445076
power__leakage__total,0.000003179279929099721
power__total,0.0065003614872694016
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.37165804819011994
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.7768161334061787
timing__hold__ws__corner:nom_tt_025C_3v30,0.6354938977144837
timing__setup__ws__corner:nom_tt_025C_3v30,52.87180976017073
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.635494
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,52.871811
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,614
design__max_fanout_violation__count__corner:max_ss_125C_3v00,0
design__max_cap_violation__count__corner:max_ss_125C_3v00,0
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.6488054721562164
clock__skew__worst_setup__corner:max_ss_125C_3v00,1.0789733856218786
timing__hold__ws__corner:max_ss_125C_3v00,1.3537242820992408
timing__setup__ws__corner:max_ss_125C_3v00,2.9645122751257076
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,0.0
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,0.0
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.409538
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,0
timing__setup_r2r__ws__corner:max_ss_125C_3v00,2.964512
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,0
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.2590600030042636
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.6557131134773418
timing__hold__ws__corner:min_ff_n40C_3v60,0.3114527612857227
timing__setup__ws__corner:min_ff_n40C_3v60,73.51549621586022
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.311453
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,73.515495
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count,614
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2590600030042636
clock__skew__worst_setup,0.6557131134773418
timing__hold__ws,0.3114527612857227
timing__setup__ws,2.9645122751257076
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.311453
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.964512
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1110.0 1110.0
design__core__bbox,100.24 101.92 1009.68 1007.44
design__io,21
design__die__area,1.2321E+6
design__core__area,823516
design__instance__count__stdcell,47666
design__instance__area__stdcell,606685
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.736701
design__instance__utilization__stdcell,0.736701
design__rows,231
design__rows:GF018hv5v_mcu_sc7,231
design__sites,375144
design__sites:GF018hv5v_mcu_sc7,375144
design__instance__count__class:tie_cell,13
design__instance__area__class:tie_cell,114.15
design__instance__count__class:inverter,1078
design__instance__area__class:inverter,9566.68
design__instance__count__class:sequential_cell,1291
design__instance__area__class:sequential_cell,96040
design__instance__count__class:multi_input_combinational_cell,16560
design__instance__area__class:multi_input_combinational_cell,311887
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,462
design__instance__area__class:endcap_cell,2028.36
design__instance__count__class:tap_cell,5361
design__instance__area__class:tap_cell,23536.9
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.17354E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4138
design__instance__area__class:timing_repair_buffer,73908
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
design__instance__count__class:clock_buffer,125
design__instance__area__class:clock_buffer,6857.8
design__instance__count__class:clock_inverter,62
design__instance__area__class:clock_inverter,1189.8
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,204634
global_route__wirelength,1895124
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
design__instance__count__class:antenna_cell,18576
design__instance__area__class:antenna_cell,81556.1
antenna_diodes_count,0
route__net,23187
route__net__special,2
route__drc_errors__iter:0,11935
route__wirelength__iter:0,1329395
route__drc_errors__iter:1,5546
route__wirelength__iter:1,1319472
route__drc_errors__iter:2,5326
route__wirelength__iter:2,1316865
route__drc_errors__iter:3,373
route__wirelength__iter:3,1316671
route__drc_errors__iter:4,47
route__wirelength__iter:4,1316774
route__drc_errors__iter:5,8
route__wirelength__iter:5,1316810
route__drc_errors__iter:6,8
route__wirelength__iter:6,1316812
route__drc_errors__iter:7,2
route__wirelength__iter:7,1316877
route__drc_errors__iter:8,2
route__wirelength__iter:8,1316877
route__drc_errors__iter:9,2
route__wirelength__iter:9,1316879
route__drc_errors__iter:10,2
route__wirelength__iter:10,1316878
route__drc_errors__iter:11,2
route__wirelength__iter:11,1316873
