net,length_um
clknet_3_5__leaf_i_clk,1.23896mm
clknet_3_6__leaf_i_clk,1.20124mm
clknet_3_7__leaf_i_clk,1.12385mm
clknet_3_3__leaf_i_clk,1.09586mm
clknet_0_i_clk,1.05254mm
clknet_3_2__leaf_i_clk,1.03392mm
clknet_3_0__leaf_i_clk,1.00529mm
i_clk,891.08µm
clknet_3_1__leaf_i_clk,867.1µm
clknet_3_4__leaf_i_clk,757.01µm
clknet_leaf_13_i_clk,521.66µm
clknet_leaf_9_i_clk,503.99µm
clknet_leaf_78_i_clk,390.77µm
clknet_leaf_86_i_clk,380.69µm
net1593,372.49µm
net2615,367.91µm
clknet_leaf_71_i_clk,361.65µm
net3972,357.88µm
clknet_leaf_14_i_clk,341.29µm
net2158,339.45µm
_01848_,339.05µm
_07490_,334.72µm
_10919_,329.86µm
net3996,329.12µm
net2262,328µm
net2225,325.66µm
net674,325.25µm
net2346,323.88µm
net3987,323.11µm
net4280,322.25µm
net1923,316.34µm
clknet_leaf_16_i_clk,315.63µm
clknet_leaf_88_i_clk,313.95µm
net1240,311.76µm
net2277,311.56µm
clknet_leaf_84_i_clk,311.4µm
net1828,311.15µm
net2446,308.65µm
net730,308.24µm
net4583,308.1µm
net2097,307.99µm
net1539,307.79µm
net4053,307.69µm
net1590,305.04µm
net4692,304.28µm
clknet_leaf_33_i_clk,303.26µm
_10909_,301.94µm
net3900,301.38µm
net1713,300.66µm
net1413,300.46µm
clknet_leaf_11_i_clk,300µm
net4019,299.8µm
net1662,299.75µm
_01950_,298.86µm
net4215,298.78µm
clknet_leaf_10_i_clk,298.17µm
clknet_leaf_47_i_clk,296.54µm
net3946,295.98µm
net2732,295.88µm
net725,295.77µm
clknet_leaf_35_i_clk,294.96µm
_11216_,294.83µm
net4004,294.76µm
net2575,294.71µm
clknet_leaf_15_i_clk,294.15µm
net3999,293.74µm
net4012,293.43µm
net2827,293.18µm
net4162,292.54µm
clknet_leaf_64_i_clk,290.76µm
net4660,290.38µm
net3941,290.33µm
net726,290.28µm
net1558,290.07µm
_10883_,289.21µm
net1781,288.75µm
net3956,287.58µm
net4379,287.22µm
clknet_leaf_81_i_clk,287.12µm
net1426,285.8µm
net4333,285.59µm
clknet_leaf_18_i_clk,285.39µm
net3989,284.93µm
net1833,284.73µm
net685,284.68µm
net703,284.12µm
net2015,284.12µm
net127,284.11µm
net4242,283.3µm
net1688,283.1µm
net2024,283.1µm
clknet_leaf_1_i_clk,283.1µm
net1308,283.05µm
clknet_leaf_12_i_clk,283µm
net4264,282.59µm
net4194,282.03µm
_06436_,281.98µm
net1295,281.98µm
clknet_leaf_87_i_clk,281.62µm
net4693,281.21µm
net3043,280.2µm
clknet_leaf_22_i_clk,279.99µm
net2325,279.94µm
net3990,279.84µm
net4009,279.84µm
clknet_leaf_44_i_clk,279.84µm
net4263,279.59µm
net1502,279.52µm
net4010,279.43µm
net4135,279.18µm
net2196,278.67µm
clknet_leaf_51_i_clk,278.67µm
clknet_leaf_21_i_clk,278.11µm
net2350,278.06µm
net2321,277.8µm
net4694,277.04µm
_01855_,276.89µm
net2573,276.84µm
net4181,276.58µm
net536,276.53µm
net4241,276.02µm
clknet_leaf_37_i_clk,275.46µm
clknet_leaf_3_i_clk,274.8µm
net2283,274.75µm
net4327,274.6µm
clknet_leaf_0_i_clk,274.39µm
_10901_,274.08µm
_07981_,274.04µm
net1331,274.04µm
net4412,273.91µm
net2390,273.84µm
clknet_leaf_50_i_clk,273.78µm
clknet_leaf_97_i_clk,273.68µm
net3435,273.57µm
net4024,273.48µm
net4500,273.02µm
net4695,272.92µm
net2005,271.75µm
_01829_,270.8µm
net2641,270.68µm
net4196,270.68µm
u_integration_final.integration_inst.command_parser_inst.i_uart_rx_data\[3\],270.58µm
net2770,270.55µm
net2080,270.27µm
_11171_,269.66µm
_02326_,269.51µm
net3982,269.2µm
net4481,269.2µm
net4336,268.54µm
net2250,268.49µm
net1832,268.39µm
net2110,268.03µm
clknet_leaf_57_i_clk,267.98µm
_01819_,267.42µm
_01943_,267.37µm
net3916,267.37µm
_11104_,266.71µm
net4182,266.71µm
net4613,266.45µm
_06411_,266.24µm
_01831_,266.2µm
net1556,265.94µm
net2754,265.74µm
net2204,265.69µm
_14273_,265.64µm
net308,265.54µm
net800,265.49µm
