Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_266_1838,VDD,Metal1,1069.1555,1077.2310,3.294693
FILLER_266_1804,VDD,Metal1,1050.1155,1077.2310,3.294692
FILLER_266_1770,VDD,Metal1,1031.0755,1077.2310,3.294692
FILLER_266_1736,VDD,Metal1,1012.0355,1077.2310,3.294692
FILLER_266_1702,VDD,Metal1,992.9955,1077.2310,3.294692
FILLER_266_1668,VDD,Metal1,973.9555,1077.2310,3.294692
FILLER_266_1634,VDD,Metal1,954.9155,1077.2310,3.294692
FILLER_266_1600,VDD,Metal1,935.8755,1077.2310,3.294692
FILLER_266_1566,VDD,Metal1,916.8355,1077.2310,3.294692
FILLER_266_1532,VDD,Metal1,897.7955,1077.2310,3.294692
FILLER_266_1498,VDD,Metal1,878.7555,1077.2310,3.294691
FILLER_266_1464,VDD,Metal1,859.7155,1077.2310,3.294691
FILLER_266_1430,VDD,Metal1,840.6755,1077.2310,3.294692
FILLER_266_1396,VDD,Metal1,821.6355,1077.2310,3.294692
FILLER_266_1362,VDD,Metal1,802.5955,1077.2310,3.294692
FILLER_266_1328,VDD,Metal1,783.5555,1077.2310,3.294693
FILLER_266_1294,VDD,Metal1,764.5155,1077.2310,3.294693
FILLER_266_1260,VDD,Metal1,745.4755,1077.2310,3.294694
FILLER_266_1226,VDD,Metal1,726.4355,1077.2310,3.294695
FILLER_266_1192,VDD,Metal1,707.3955,1077.2310,3.294695
FILLER_266_1158,VDD,Metal1,688.3555,1077.2310,3.294696
FILLER_266_1124,VDD,Metal1,669.3155,1077.2310,3.294697
FILLER_266_1090,VDD,Metal1,650.2755,1077.2310,3.294698
FILLER_266_1056,VDD,Metal1,631.2355,1077.2310,3.294700
FILLER_266_1022,VDD,Metal1,612.1955,1077.2310,3.294701
FILLER_266_988,VDD,Metal1,593.1555,1077.2310,3.294702
FILLER_266_954,VDD,Metal1,574.1155,1077.2310,3.294704
FILLER_266_950,VDD,Metal1,562.8000,1078.0000,3.294705
FILLER_266_942,VDD,Metal1,560.5065,1077.4230,3.294705
FILLER_266_924,VDD,Metal1,548.2400,1078.0000,3.294709
FILLER_266_920,VDD,Metal1,546.9400,1077.5675,3.294709
FILLER_266_886,VDD,Metal1,536.0355,1077.2310,3.294709
FILLER_266_868,VDD,Metal1,519.0665,1077.4230,3.294711
FILLER_266_852,VDD,Metal1,512.4480,1077.3080,3.294712
FILLER_266_848,VDD,Metal1,505.6800,1078.0000,3.294714
FILLER_266_839,VDD,Metal1,501.5800,1077.5675,3.294714
FILLER_266_831,VDD,Metal1,498.3465,1077.4230,3.294714
FILLER_266_818,VDD,Metal1,491.0665,1077.4230,3.294715
FILLER_266_784,VDD,Metal1,478.9155,1077.2310,3.294716
FILLER_266_750,VDD,Metal1,459.8755,1077.2310,3.294718
FILLER_266_716,VDD,Metal1,440.8355,1077.2310,3.294719
FILLER_266_713,VDD,Metal1,429.8000,1078.0000,3.294720
FILLER_266_697,VDD,Metal1,425.6480,1077.3080,3.294720
FILLER_266_690,VDD,Metal1,417.2000,1078.0000,3.294722
FILLER_266_682,VDD,Metal1,414.9065,1077.4230,3.294722
FILLER_266_679,VDD,Metal1,410.7600,1078.0000,3.294724
FILLER_266_675,VDD,Metal1,409.7400,1077.5675,3.294724
FILLER_266_667,VDD,Metal1,406.5065,1077.4230,3.294724
FILLER_266_654,VDD,Metal1,396.7600,1078.0000,3.294728
FILLER_266_652,VDD,Metal1,395.9200,1078.0000,3.294728
FILLER_266_648,VDD,Metal1,394.6200,1077.5675,3.294728
FILLER_266_614,VDD,Metal1,383.7155,1077.2310,3.294728
FILLER_266_580,VDD,Metal1,364.6755,1077.2310,3.294730
FILLER_266_546,VDD,Metal1,345.6355,1077.2310,3.294731
FILLER_266_512,VDD,Metal1,326.5955,1077.2310,3.294732
FILLER_266_478,VDD,Metal1,307.5555,1077.2310,3.294734
FILLER_266_444,VDD,Metal1,288.5155,1077.2310,3.294735
FILLER_266_410,VDD,Metal1,269.4755,1077.2310,3.294736
FILLER_266_376,VDD,Metal1,250.4355,1077.2310,3.294737
FILLER_266_342,VDD,Metal1,231.3955,1077.2310,3.294738
FILLER_266_308,VDD,Metal1,212.3555,1077.2310,3.294739
FILLER_266_274,VDD,Metal1,193.3155,1077.2310,3.294740
FILLER_266_240,VDD,Metal1,174.2755,1077.2310,3.294741
FILLER_266_206,VDD,Metal1,155.2355,1077.2310,3.294742
FILLER_266_172,VDD,Metal1,136.1955,1077.2310,3.294743
FILLER_266_138,VDD,Metal1,117.1555,1077.2310,3.294744
FILLER_266_104,VDD,Metal1,98.1155,1077.2310,3.294744
FILLER_266_70,VDD,Metal1,79.0755,1077.2310,3.294745
FILLER_266_36,VDD,Metal1,60.0355,1077.2310,3.294745
FILLER_266_2,VDD,Metal1,40.9955,1077.2310,3.294745
FILLER_265_1870,VDD,Metal1,1078.0000,1070.1600,3.294691
FILLER_265_1854,VDD,Metal1,1073.5680,1070.8520,3.294691
FILLER_265_1822,VDD,Metal1,1060.1955,1070.9285,3.294691
