Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,368
design__inferred_latch__count,0
design__instance__count,72291
design__instance__area,1.09839E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.0034118543844670057
power__switching__total,0.0012626874959096313
power__leakage__total,0.000026087047444889322
power__total,0.004700629040598869
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3011075918273816
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.6883804277001097
timing__hold__ws__corner:nom_tt_025C_3v30,0.7056708750411754
timing__setup__ws__corner:nom_tt_025C_3v30,54.00626587688359
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.735511
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,54.006268
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,0
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.21359535578152541
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.604632527825798
timing__hold__ws__corner:min_ff_n40C_3v60,0.36631598791144726
timing__setup__ws__corner:min_ff_n40C_3v60,74.16103852041017
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.366316
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,74.161041
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,24
design__max_fanout_violation__count__corner:max_ss_125C_3v00,0
design__max_cap_violation__count__corner:max_ss_125C_3v00,0
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.5138045689897603
clock__skew__worst_setup__corner:max_ss_125C_3v00,0.8962701390299026
timing__hold__ws__corner:max_ss_125C_3v00,1.2495187460607897
timing__setup__ws__corner:max_ss_125C_3v00,5.469417074053765
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,0.0
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,0.0
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.624451
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,0
timing__setup_r2r__ws__corner:max_ss_125C_3v00,5.469417
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count,24
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.21359535578152541
clock__skew__worst_setup,0.604632527825798
timing__hold__ws,0.36631598791144726
timing__setup__ws,5.469417074053765
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.366316
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.469417
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1110.0 1110.0
design__core__bbox,30.24 31.36 1079.68 1078.0
design__io,21
design__die__area,1.2321E+6
design__core__area,1.09839E+6
design__instance__count__stdcell,31445
design__instance__area__stdcell,556189
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.506369
design__instance__utilization__stdcell,0.506369
design__rows,267
design__rows:GF018hv5v_mcu_sc7,267
design__sites,500358
design__sites:GF018hv5v_mcu_sc7,500358
design__instance__count__class:tie_cell,13
design__instance__area__class:tie_cell,114.15
design__instance__count__class:inverter,1078
design__instance__area__class:inverter,9707.17
design__instance__count__class:sequential_cell,1291
design__instance__area__class:sequential_cell,96918.1
design__instance__count__class:multi_input_combinational_cell,16560
design__instance__area__class:multi_input_combinational_cell,320552
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,534
design__instance__area__class:endcap_cell,2344.47
design__instance__count__class:tap_cell,7132
design__instance__area__class:tap_cell,31312.3
design__power_grid_violation__count__net:VDD,1
design__power_grid_violation__count__net:VSS,1
design__power_grid_violation__count,2
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.18263E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4637
design__instance__area__class:timing_repair_buffer,86271.4
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
design__instance__count__class:clock_buffer,146
design__instance__area__class:clock_buffer,7898.33
design__instance__count__class:clock_inverter,54
design__instance__area__class:clock_inverter,1071.26
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,173370
global_route__wirelength,1774323
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,0
route__net,23693
route__net__special,2
route__drc_errors__iter:0,7331
route__wirelength__iter:0,1274491
route__drc_errors__iter:1,3356
route__wirelength__iter:1,1267443
route__drc_errors__iter:2,3188
route__wirelength__iter:2,1265449
route__drc_errors__iter:3,144
route__wirelength__iter:3,1265405
route__drc_errors__iter:4,5
route__wirelength__iter:4,1265414
route__drc_errors__iter:5,2
route__wirelength__iter:5,1265429
route__drc_errors__iter:6,2
route__wirelength__iter:6,1265429
route__drc_errors__iter:7,2
route__wirelength__iter:7,1265429
route__drc_errors__iter:10,2
route__wirelength__iter:10,1265429
route__drc_errors__iter:11,2
route__wirelength__iter:11,1265429
route__drc_errors__iter:15,2
route__wirelength__iter:15,1265429
route__drc_errors__iter:16,2
route__wirelength__iter:16,1265429
route__drc_errors__iter:17,4
route__wirelength__iter:17,1265429
